"";"id_url";"url";"url2";"data";"titulo";"empresa1";"empresa2";"empresa3";"empresa4";"empresa5";"ticker1";"ticker2";"ticker3";"ticker4";"ticker5";"peso1";"peso2";"peso3";"peso4";"peso5";"data_temp";"data_hora";"dia";"mes";"ano";"data_completa";"fonte_noticia";"id_noticia";"url_noticia";"data_noticia";"id_carteira";"data_carteira";"validade_carteira";"corretora"
"21";21;"https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal-2/";"""https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal-2/""";"01/04/2021 - 21:37";"MyCap faz duas trocas em carteira recomendada semanal";"B3";"Usiminas";"Localiza";"Totvs";"PetroRio";"B3SA3";"USIM5";"RENT3";"TOTS3";"PRIO3";"20";"20";"20";"20";"20";"01/04/2021";2021-04-01;"01";"04";"2021";"01-04-2021";"Money Times";21;"https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal-2/";2021-04-01;21;2021-04-01;2021-04-06;"ICAP DO BRASIL CTVM LTDA"
"22";22;"https://www.moneytimes.com.br/mycap-inclui-acao-do-magazine-luiza-nas-recomendacoes-para-a-semana/";"""https://www.moneytimes.com.br/mycap-inclui-acao-do-magazine-luiza-nas-recomendacoes-para-a-semana/""";"07/03/2021 - 13:14";"MyCap inclui ação do Magazine Luiza nas recomendações para a semana";"Portobello";"Qualicorp";"Locaweb";"Magazine Luiza";"Bradespar";"PTBL3";"QUAL3";"LWSA3";"MGLU3";"BRAP4";"20";"20";"20";"20";"20";"07/03/2021";2021-03-07;"07";"03";"2021";"07-03-2021";"Money Times";22;"https://www.moneytimes.com.br/mycap-inclui-acao-do-magazine-luiza-nas-recomendacoes-para-a-semana/";2021-03-07;22;2021-03-07;2021-03-12;"ICAP DO BRASIL CTVM LTDA"
"23";23;"https://www.moneytimes.com.br/xp-troca-tres-acoes-em-carteira-recomendada-semanal/";"""https://www.moneytimes.com.br/xp-troca-tres-acoes-em-carteira-recomendada-semanal/""";"26/03/2021 - 20:19";"XP troca três ações em carteira recomendada semanal";"Itaú";"Cemig";"Lojas Americanas";"Minerva";"Bradespar";"ITUB4";"CMIG4";"LAME4";"BEEF3";"BRAP4";"20";"20";"20";"20";"20";"26/03/2021";2021-03-26;"26";"03";"2021";"26-03-2021";"Money Times";23;"https://www.moneytimes.com.br/xp-troca-tres-acoes-em-carteira-recomendada-semanal/";2021-03-26;23;2021-03-26;2021-03-31;"XP INVESTIMENTOS CCTVM S/A"
"24";24;"https://www.moneytimes.com.br/apos-cair-menos-do-que-o-ibovespa-na-semana-carteira-semanal-do-btg-faz-tres-trocas/";"""https://www.moneytimes.com.br/apos-cair-menos-do-que-o-ibovespa-na-semana-carteira-semanal-do-btg-faz-tres-trocas/""";"01/03/2021 - 7:56";"Após cair menos do que o Ibovespa na semana, carteira semanal do BTG faz três trocas";"Braskem";"Vale";"Suzano";"Embraer";"Kleper Weber";"BRKM5";"VALE3";"SUZB3";"EMBR3";"KEPL3";"20";"20";"20";"20";"20";"01/03/2021";2021-03-01;"01";"03";"2021";"01-03-2021";"Money Times";24;"https://www.moneytimes.com.br/apos-cair-menos-do-que-o-ibovespa-na-semana-carteira-semanal-do-btg-faz-tres-trocas/";2021-03-01;24;2021-03-01;2021-03-06;"BTG PACTUAL CTVM S/A"
"25";25;"https://www.moneytimes.com.br/mycap-troca-quase-todas-as-acoes-da-carteira-para-a-primeira-semana-de-marco/";"""https://www.moneytimes.com.br/mycap-troca-quase-todas-as-acoes-da-carteira-para-a-primeira-semana-de-marco/""";"27/02/2021 - 14:04";"MyCap troca quase todas as ações da carteira para a primeira semana de março";"Portobello";"Qualicorp";"Locaweb";"B3";"Bradespar";"PTBL3";"QUAL3";"LWSA3";"B3SA3";"BRAP4";"20";"20";"20";"20";"20";"27/02/2021";2021-02-27;"27";"02";"2021";"27-02-2021";"Money Times";25;"https://www.moneytimes.com.br/mycap-troca-quase-todas-as-acoes-da-carteira-para-a-primeira-semana-de-marco/";2021-02-27;25;2021-02-27;2021-03-04;"ICAP DO BRASIL CTVM LTDA"
"26";26;"https://www.moneytimes.com.br/elite-escolhe-3-novas-acoes-para-compor-carteira-recomendada-da-semana/";"""https://www.moneytimes.com.br/elite-escolhe-3-novas-acoes-para-compor-carteira-recomendada-da-semana/""";"27/02/2021 - 17:37";"Elite escolhe 3 novas ações para compor carteira recomendada da semana";"B3";"BTG Pactual";"Eneva";"Gerdau";"WEG";"B3SA3";"BPAC11";"ENEV3";"GGBR4";"WEGE3";"20";"20";"20";"20";"20";"27/02/2021";2021-02-27;"27";"02";"2021";"27-02-2021";"Money Times";26;"https://www.moneytimes.com.br/elite-escolhe-3-novas-acoes-para-compor-carteira-recomendada-da-semana/";2021-02-27;26;2021-02-27;2021-03-04;"ELITE CCVM LTDA"
"27";27;"https://www.moneytimes.com.br/apos-bater-ibovespa-mycap-mantem-carteira-semanal-intacta/";"""https://www.moneytimes.com.br/apos-bater-ibovespa-mycap-mantem-carteira-semanal-intacta/""";"19/02/2021 - 21:18";"Após bater Ibovespa, MyCap mantém carteira semanal intacta";"Magazine Luiza";"Hypera";"Locaweb";"Itaú Unibanco";"Movida";"MGLU3";"HYPE3";"LWSA3";"ITUB4";"MOVI3";"20";"20";"20";"20";"20";"19/02/2021";2021-02-19;"19";"02";"2021";"19-02-2021";"Money Times";27;"https://www.moneytimes.com.br/apos-bater-ibovespa-mycap-mantem-carteira-semanal-intacta/";2021-02-19;27;2021-02-19;2021-02-24;"ICAP DO BRASIL CTVM LTDA"
"28";28;"https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal/";"""https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal/""";"19/03/2021 - 20:33";"MyCap faz duas trocas em carteira recomendada semanal";"Grendene";"CSN";"Suzano";"Magazine Luiza";"PetroRio";"GRND3";"CSNA3";"SUZB3";"MGLU3";"PRIO3";"20";"20";"20";"20";"20";"19/03/2021";2021-03-19;"19";"03";"2021";"19-03-2021";"Money Times";28;"https://www.moneytimes.com.br/mycap-faz-duas-trocas-em-carteira-recomendada-semanal/";2021-03-19;28;2021-03-19;2021-03-24;"ICAP DO BRASIL CTVM LTDA"
"29";29;"https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-qual/";"""https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-qual/""";"19/03/2021 - 21:11";"XP só mantém uma ação em carteira recomendada semanal; veja qual";"Itaú";"Cemig";"Via Varejo";"Marfrig";"Randon";"ITUB4";"CMIG4";"VVAR3";"MRFG3";"RAPT4";"20";"20";"20";"20";"20";"19/03/2021";2021-03-19;"19";"03";"2021";"19-03-2021";"Money Times";29;"https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-qual/";2021-03-19;29;2021-03-19;2021-03-24;"XP INVESTIMENTOS CCTVM S/A"
"30";30;"https://www.moneytimes.com.br/meliuz-entra-nas-recomendacoes-da-carteira-semanal-da-guide/";"""https://www.moneytimes.com.br/meliuz-entra-nas-recomendacoes-da-carteira-semanal-da-guide/""";"17/02/2021 - 19:39";"Méliuz entra nas recomendações da carteira semanal da Guide";"Méliuz";"Gerdau";"Klabin";"PetroRio";"Vale";"CASH3";"GGBR4";"KLBN11";"PRIO3";"VALE3";"20";"20";"20";"20";"20";"17/02/2021";2021-02-17;"17";"02";"2021";"17-02-2021";"Money Times";30;"https://www.moneytimes.com.br/meliuz-entra-nas-recomendacoes-da-carteira-semanal-da-guide/";2021-02-17;30;2021-02-17;2021-02-22;"GUIDE INVESTIMENTOS SA CORRETORA DE VALORES"
