id_url;url;url2
45;https://www.moneytimes.com.br/com-foco-no-setor-de-utilities-carteira-semanal-da-ativa-ganha-duas-novas-acoes/;"""https://www.moneytimes.com.br/com-foco-no-setor-de-utilities-carteira-semanal-da-ativa-ganha-duas-novas-acoes/"""
46;https://www.moneytimes.com.br/ativa-troca-eneva-e-unipar-por-santander-e-sulamerica-na-carteira-da-semana/;"""https://www.moneytimes.com.br/ativa-troca-eneva-e-unipar-por-santander-e-sulamerica-na-carteira-da-semana/"""
47;https://www.moneytimes.com.br/btg-troca-copasa-e-fleury-por-portobello-e-totvs-na-carteira-semanal/;"""https://www.moneytimes.com.br/btg-troca-copasa-e-fleury-por-portobello-e-totvs-na-carteira-semanal/"""
48;https://www.moneytimes.com.br/btg-troca-tres-acoes-em-sua-carteira-recomendada-semanal-veja/;"""https://www.moneytimes.com.br/btg-troca-tres-acoes-em-sua-carteira-recomendada-semanal-veja/"""
49;https://www.moneytimes.com.br/carteira-semanal-da-mycap-ganha-3-novos-papeis/;"""https://www.moneytimes.com.br/carteira-semanal-da-mycap-ganha-3-novos-papeis/"""
50;https://www.moneytimes.com.br/ativa-troca-sequoia-e-petz-por-eneva-e-unipar-na-carteira-da-semana/;"""https://www.moneytimes.com.br/ativa-troca-sequoia-e-petz-por-eneva-e-unipar-na-carteira-da-semana/"""
51;https://www.moneytimes.com.br/carteira-semanal-do-btg-tem-acao-que-pode-disparar-quase-10-confira/;"""https://www.moneytimes.com.br/carteira-semanal-do-btg-tem-acao-que-pode-disparar-quase-10-confira/"""
52;https://www.moneytimes.com.br/carteira-da-ativa-bate-o-ibovespa-na-semana-e-realiza-tres-novas-trocas/;"""https://www.moneytimes.com.br/carteira-da-ativa-bate-o-ibovespa-na-semana-e-realiza-tres-novas-trocas/"""
53;https://www.moneytimes.com.br/apos-tensoes-politicas-acao-do-banco-do-brasil-cai-fora-de-carteira-semanal-da-elite/;"""https://www.moneytimes.com.br/apos-tensoes-politicas-acao-do-banco-do-brasil-cai-fora-de-carteira-semanal-da-elite/"""
54;https://www.moneytimes.com.br/xp-aposta-em-gafisa-e-totvs-para-a-semana-veja-o-portfolio-completo/;"""https://www.moneytimes.com.br/xp-aposta-em-gafisa-e-totvs-para-a-semana-veja-o-portfolio-completo/"""
